                                         Believer         - - -            1   0.025   40.65
                                     Passionfruit         - - -            1   0.025   39.37
                                    Tunnel Vision         - - -            1   0.025  40.486
                                   Me, Myself & I         - - -            1   0.025  40.816
                                            Yeah!         - - -            1   0.024  42.017
              Bohemian Rhapsody - Remastered 2011         - - -            1   0.024  41.667
                                         Low Life         - - -            1   0.024  42.194
                                            Waves         - - -            1   0.024  41.322
                                          Selfish         - - -            1   0.024  41.322
                                        All of Me         - - -            1   0.024  42.553
                            I Don't Fuck With You         - - -            1   0.024  42.553
                      Slippery (feat. Gucci Mane)         - - -            1   0.024  42.373
                                        Needed Me         - - -            1   0.024  42.017
                            679 (feat. Remy Boyz)         - - -            1   0.024  40.984
                                        I'm Yours         - - -            1   0.024  41.322
                                      Uptown Funk         - - -            1   0.023   43.29
                                 F**kin' Problems         - - -            1   0.023   43.86
                                     Bank Account         - - -            1   0.023  43.478
                                      Radioactive         - - -            1   0.023  43.668
                                Never Be Like You         - - -            1   0.023  43.478
                                           Middle         - - -            1   0.023  44.053
                                Thinking Out Loud         - - -            1   0.023  42.735
                                      Wagon Wheel         - - -            1   0.023  42.735
            Cold Water (feat. Justin Bieber & MØ)         - - -            1   0.023  42.735
                                         Fast Car         - - -            1   0.023  43.668
                                         rockstar         - - -            1   0.023  43.103
                                       Let Her Go         - - -            1   0.023  44.053
                                             DNA.         - - -            1   0.023   43.29
                                       Chill Bill         - - -            1   0.023   43.86
                                              You         - - -            1   0.023  42.918
                                            Drive         - - -            1   0.023  42.735
                                     It Wasn't Me         - - -            1   0.022  45.872
                                          Trouble         - - -            1   0.022  46.296
                                       All I Want         - - -            1   0.022  45.249
                                           Jungle         - - -            1   0.022  45.455
                                          V. 3005         - - -            1   0.022  45.249
                                            Angel         - - -            1   0.022  45.872
                                          Hold On         - - -            1   0.022  44.444
                         Something Just Like This         - - -            1   0.022  46.296
                                          Monster         - - -            1   0.022  45.872
                    Ain't No Mountain High Enough         - - -            1   0.022  45.045
                               Can't Feel My Face         - - -            1   0.022  45.045
                                         With You         - - -            1   0.022  45.045
                                            Swang         - - -            1   0.022  45.662
                                What Do You Mean?         - - -            1   0.022  46.296
                                Shut Up and Dance         - - -            1   0.022  45.045
                               Young Dumb & Broke         - - -            1   0.022  45.662
                                         Paradise         - - -            1   0.022  45.045
                                         Heathens         - - -            1   0.022  44.843
                                       Photograph         - - -            1   0.022  45.872
                                     Stressed Out         - - -            1   0.022  44.843
              I Took A Pill In Ibiza - Seeb Remix         - - -            1   0.022  45.662
                                   Work from Home         - - -            1   0.022  46.083
                                    Love Yourself         - - -            1   0.022  46.083
                                            Alive         - - -            1   0.022  44.643
                              Party In The U.S.A.         - - -            1   0.021  47.393
                                            Intro         - - -            1   0.021  46.512
                                            Crazy         - - -            1   0.021  48.077
                              Sweet Child O' Mine         - - -            1   0.021   48.78
                               Sweet Home Alabama         - - -            1   0.021  48.309
CAN'T STOP THE FEELING! (Original Song from Dr...         - - -            1   0.021   48.78
                         Stay (with Alessia Cara)         - - -            1   0.021   47.17
                                  Die A Happy Man         - - -            1   0.021  47.847
                                           Famous         - - -            1   0.021  48.309
                                    Chicken Fried         - - -            1   0.021  46.729
                                            Alone         - - -            1   0.021  48.544
                                    Cheap Thrills         - - -            1   0.021  47.847
                                        Controlla         - - -            1   0.021  48.544
                                          Wake Up         - - -            1   0.021   47.17
                                         My House         - - -            1   0.021  47.847
                                          Believe         - - -            1   0.021  47.393
                        This Is What You Came For         - - -            1   0.021  46.512
                                            Again         - - -            1   0.021   47.17
                   Hey Ya! - Radio Mix / Club Mix         - - -            1    0.02  49.261
                                          Gravity         - - -            1    0.02    50.0
                                 X (feat. Future)         - - -            1    0.02   49.02
                                         Too Good         - - -            1    0.02  49.505
                             Say You Won't Let Go         - - -            1    0.02    50.0
                                   Come On Eileen         - - -            1    0.02   49.02
                                             Kids         - - -            1    0.02    50.0
        i hate u, i love u (feat. olivia o'brien)         - - -            1    0.02    50.0
                                           Summer         - - -            1    0.02  49.505
                                            Sugar         - - -            1    0.02  49.261
                                       No Diggity         - - -            1    0.02  49.261
